hypothesis,premise,label
La personne est proche de l'eau.,Un surfer est évaporé par une vague océanique.,0
La fille est la fille de la femme,Une femme et une petite fille font quelque chose à une roue de poterie.,1
Un petit garçon dans un gros chapeau capture un disque volant.,Un jeune garçon portant un gros chapeau se rend pour prendre un frisbee.,0
Les mées s'encouragent mutuellement.,"Quatre hommes assis, chacun muni d'un ordinateur portable.",2
Les enfants se trouvent à l'extérieur d'un conteneur en métal rouge.,Un groupe d'enfants sombres se trouvent à côté d'un conteneur en métal rouge.,0
Les roches ont quelqu'un sur elles.,une seule personne debout sur des roches avec de grandes montagnes de neige dans l'arrière-plan.,0
Elle intervient.,La jeune fille s'est inclinée pour toucher l'arc-en-ciel.,0
Un garçon glisse sur une montagne durant la journée.,"Un jeune garçon, portant des courtes et un dessus-citerne rouge, glisse sur une montagne de neige, en empruntant un plancher sur son ventre.",1
Une équipe de soccer pour enfants vient de remporter le jeu.,"Un joueur de soccer enfant saute pour le ballon pour l'empêcher d'entrer dans le filet mais, ne réussit pas à atteindre son objectif.",1
Un homme en casque blanc est en patinage.,Un homme dans un casque blanc se crouche tandis qu'il patinait.,0
Une fille consomme quelque chose de nourriture.,Une jeune fille asiatique mange.,0
Une femme est à une fête avec sa famille autour de elle.,"Une femme dans une chemise bleue rit avec une femme dans une chemise noire à l'extérieur, alors que les gens se trouvent et se trouvent autour de elles.",1
Les enfants se détendent sur la couche.,Beaucoup d'enfants sautent d'une roche dans un corps d'eau une brève chute en dessous.,2
Deux femmes âgées spinnent la laine à l'extérieur.,Deux femmes âgées assises à l'extérieur d'un bâtiment en briques en laine.,0
L'homme est prêt à rouler sur une neige.,Un homme sur une snowboard.,0
Une femme âgée saute sur le wagon en mouvement.,Une femme âgée portant une chemise de fleurs attend patiemment que le train s'arrête.,2
Il essaie d'atteindre la cible.,Un homme jete un frisbee bleu sur une cible de golf frisbee.,0
Le skateboarder a sauté au-dessus d'une colline pendant qu'il s'est filimé pour une vidéo.,un skateboarder saute au-dessus d'un rail de garde routier.,2
Le bord n'est pas abrupt,Un grimpeur de roche à l'échelle d'une montagne sur un bord très abrupt.,2
Un grand chien est debout,Un grand chien se tient sur sa jambe à main à l'aide de balles de tennis.,0
Le garçon se trouve à l'extérieur près de l'eau.,Un petit garçon saute devant une fontaine.,0
Les chiens se trouvent à l'intérieur d'un bâtiment.,Deux chiens jouent avec un objet bleu devant un édifice.,2
Un homme dans une chemise noire sur le trottoir.,Un homme en t-shirt noir se tient à côté d'un compteur de stationnement.,0
La femme a des cheveux bruns.,Une jolie jeune femme chante.,1
La petite femme peut à peine transporter le conteneur bleu sur sa tête.,Une femme lourde dans une chemise rouge et des sangles d'épaule noires équilibre un contenant bleu rempli de marchandises au-dessus de sa tête.,2
Un homme a une veste bleue.,"Un homme en veste bleue est tombé dormant en assis sur un fauteuil pliable, avec un pôle de pêche et un parasol vert.",0
Le cadeau est recouvert d'un ruban rouge.,Trois enfants et tenter d'ouvrir un cadeau.,1
Il y a une tuile sur le plancher.,La chambre est tapissée.,2
Une femme âgée frappe sa fille au visage.,Une femme âgée donne une gloire à sa fille.,2
Une personne transporte un grand canot.,Une personne transporte son canot blanc sur un sentier rocheux tandis qu’un chien noir dans un collier rouge montre.,1
Le vieux homme évolue sur un poison à l'écart de la police.,Un petit-enfant pique un poil brun et de couleur crème.,2
Un groupe d'hommes nage à proximité d'un bateau à quai sec.,Des hommes debout à la rive avec un mât de pêche et un bateau en eau,2
A woman shopping in a street market.,Une femme ayant des cheveux noirs et un écouteau pourpre regarde un écouteau rose d'un vendeur dans un marché de rue.,0
Grandma et grandpa jouant monolopy avec leurs petits-enfants,Quatre enfants plus jeunes jouent Monopoly au rez-de-chaussée avec une femme plus âgée et un homme à cheveux gris.,1
La femme est assise dans sa voiture.,"Un petit garçon portant une veste bleue foncée s'adresse à une femme habillée d'un costume rose et violet avec des ailes blanches, qui se trouve dans la rue.",2
femme et enfant marchent le long d'un piégeage,Une femme adulte et un jeune enfant de sexe masculin marchent le long d'un piégeage et tiennent un parapluie pendant qu'il plonge.,0
Un homme est assis sur un banc.,Un jeune homme est assis sur un banc à côté d'une porte en bois.,0
L'homme marche sur le trottoir.,Un homme dans une veste marche sur le trottoir avec des arbres sans feuilles.,0
Un homme âgé assis sur un banc de parc pour nourrir les pigeons.,Un homme âgé prépare des légumes dans une rue occupée.,2
Trois pompiers reçoivent du café,"Trois pompiers se trouvent autour de deux pompiers, l'un ayant une barbe se dirige contre le pompier, tandis que les deux autres parlent avec lui.",2
La mère porte des tasses hautes.,Une mère et un enfant interagissent dans une pièce de style rétroactif.,1
Il n'y a pas de lumières.,Un cycliste saute une rampe à l'extérieur dans la nuit sombre.,1
Une femme blanche se trouve dans un restaurant.,Une jeune femme du Caucase dans un tête-sucre blanc à capuchon siège à une table pour deux dans un restaurant à faible lit.,0
une personne saute,Une personne saute dans l'air au centre d'une chaussée.,0
La jeune fille aide à pousser la promenade.,Un homme doté d'un sac à dos pousse une promenade tandis qu'un jeune garçon marche le long de lui.,1
Les policiers étudient des chevaux.,Un groupe d'hommes en uniforme équitent à cheval.,1
Il y a plusieurs personnes dans un petit bateau.,Une seule personne en aval d'un petit bateau sur un lac.,2
Un homme est debout.,Un homme regarde de près au moment où il siège.,2
Un homme chasse une balle.,Un joueur de baseball encourt un ballon.,0
Les hommes tentent de prendre un football.,Trois hommes d'âge collégial sautent dans l'air avec une pelouse verte sous eux.,1
le Moucheur a un mit de baseball,Un enfant de pêcheur s’envole à l’aide de son mûre pour prendre une balle.,0
une fille ajuste son chapeau avant son performance,Jeune fille dans une chemise rose brillante ajuste son chapeau de cow-girl,1
Le travailleur se trouve à l'extérieur d'un immeuble.,Un travailleur en chemise bleue se tient devant une entreprise.,0
La personne n'a pas d'ami.,Une personne marche devant un cinéma nocturne.,1
Personne ne joue,Un jeune homme jouant avec un grand yo-yo.,2
Personne ne se trouve à proximité d'un banc,Man with children near a bench in a suburban area.,2
Les deux filles sont des surs et occupent elles-mêmes tandis que leur mère fait du dîner.,"Deux jeunes filles sont ensemble, l'une est assise dans une chaise et tresse les cheveux de l'autre.",1
Ces personnes tentent d'obtenir une équipe MLS.,Le joueur de soccer en blanc et en vert plonge pour le ballon en se défendant contre son adversaire en noir.,1
Une femme plus âgée envoie la mélodie d'eau tandis qu'une jeune attend à côté de elle.,Un jeune dans un t-shirt gris se trouve à côté d'une femme plus âgée qui donne une tranche de mélodie d'eau.,0
Un homme mince joue avec une tige métallique.,"Un homme qui n'a pas de chemise, qui porte des lunettes de soleil, un écouteau de tigre autour de son cou et une ceinture noire et des jeans, s'amarre sur une tige métallique.",2
Un garçon imite son père alors que son père moque la pelouse.,"L'adulte, en chemise grise et en courtes noires, agit sur la pelouse tandis que l'enfant, en chapeau, en chemise rayée et en courtes jeans, prétend se moquer sur la pelouse.",1
Un homme se trouve devant un immeuble.,Un homme en cap noir et en veste assis sur un sac duffel bleu devant un immeuble.,0
Il y a une chorale mixte de sexes parce que deux groupes de chorale de sexes opposés se combinent en un seul.,Une chorale mixte de taille moyenne chante tandis que le réalisateur s'efforce de rester battu.,1
Une femme est à l'extérieur.,Une femme en veste se tient à côté d'une clôture et joue des chaussures de cheval.,0
Un couple se trouve dans une bibliothèque,Un couple a des photos prises à côté d'un grand bâtiment.,2
Les gens sont en ski nautique.,Les mâles exécutent des acrobaties sportives en eau tout en étant tirés par un bateau.,1
il dorme au lit,Une tente est mise en place par un homme.,2
Personne ne joue un instrument.,"Un homme se trouve dans une salle ornée et à panneaux de bois, enbouchant et jouant un instrument semi-circulaire inhabituel tout en étant accompagné d'un ensemble de vent composé de jeunes qui se trouvent derrière lui.",2
Un homme s'appâte d'un pôle de décalage alors que d'autres gens regardent et rire.,"Un homme à jambes coiffées, portant des shorts gris et un t-shirt jaune, s'apprêtant à partir d'un pôle de stripper, avec plusieurs autres personnes regardant en rire, certains gardant des bouteilles.",0
Le randonneur a grimpé une montagne.,Un homme muni d'un casque blanc se trouve sur une montagne neigée.,1
Quatre personnes célèbrent leur victoire sur l'autre équipe.,Un groupe de jeunes joueurs de football trouvent deux étoiles attrayantes dans un stade de football.,1
Jackie Chan salue les gens.,l'acteur Jackie Chan signe des autographes pour des fans enthousiastes.,0
Humans on a jog.,Cinq hommes habillés dans des vêtements d’athlétisme sur un jog se trouvent le long d’une route à côté d’un grand champ.,0
Les gens traversent les rues tandis que les gens regardent.,Les coureurs joignent dans les rues de la ville et s’envolent par des foules sur les spectateurs.,0
Les chaussures sont inspectées par une autre personne.,Le skieur sur une colline neigeuse a ses bottes vérifiées par un homme à tête rouge,0
Ovodafone parraine le soccer.,Ovodafone parraine l'équipe de soccer Emirates pendant une longue journée à Barcelone.,0
personne sur patinoire,Un skateboarder fait une manuvre dans l'air.,0
Une personne se tient sur un squelette.,Un homme se tient sur un sommeil en marche.,0
Les hommes se trouvent sur un canapé.,Les pompiers se trouvent sur des chevaux.,2
L'homme tient son portefeuille.,Un homme retire de l'argent d'un guichet automatique.,1
La femme boire à l'intérieur.,Une femme se tient sur un balcon pour prendre des photos.,2
Un enfant triste jouant sur un cheval plastique.,Un enfant jouant sur un cheval plastique.,1
Un groupe de gens regardent les plongeurs qui tentent de raviver une femme sauvegardée de la noyade,"Dans la plage, une femme équivaut à un panier de coquillages sur sa tête.",2
Les costumes ne sont pas sombres,Beaux costumes colorés présentés dans un défilé des Indiens.,2
Un bébé joue une guitare.,Un bébé criant en gardant son jouet à sa bouche.,2
Un jeune enfant joue.,Petit garçon de cheveux blond en chemise orange jouant avec des jouets.,1
une femme est à l'extérieur,Une femme emprunte un scooter sur le trottoir.,0
Un homme plonge sous-marin.,Un homme flotte sur un petit bateau sur une rue d'eau de la ville.,2
Deux hommes sont habillés,Deux hommes vêtus de cygnes blancs.,0
Une femme patine sur un patinoire tandis que d'autres courent sur un chemin.,Une femme patine alors que d'autres courent sur un chemin.,1
L'homme porte une bandana noire.,Un homme avec une bandanna rouge hange un ballon rouge.,2
Une mariée s'encourage à son mari.,Une femme portant une robe blanche et un homme portant un costume gris.,1
La petite fille est en patinage.,Un homme saute un rail sur son patinoire.,2
La femme jete les ordures dans la canne d'ordures dans la rue arrière.,Une hispanique lave ses plats avec une éponge.,2
Une femme marche à l'extérieur.,Une femme portant une chemise blanche et une jupe marche sur le trottoir.,0
Les chats purrèrent alors qu'ils s'encouragent sur une couverture.,"Une jeune fille et un chien debout dans une rivière à côté d'un arbre tombé, tous deux regardant dans la même direction.",2
Les hommes travaillent.,Il y a quatre hommes de l'Est qui travaillent sur des photos d'hommes.,0
Les femmes se trouvent dans une salle de classe.,Deux jeunes femmes jouent à l'échec dans un restaurant.,2
Les enfants obtiennent leur image à l'école.,Un petit garçon s'est enfoncé pour la caméra et un autre garçon regarde.,1
Les gens empruntent un train.,Un groupe de personnes se trouvent sur un autobus.,2
L'homme est habillé en bleu,Un homme âgé en bleu se tient devant une grosse urne en marbre sur un piéton brun.,0
l'homme joue le baseball,Un homme boire une tasse jaune.,2
Les enfants se divertissent à l'Halloween.,Il semble qu'il s'agisse d'Halloween et que des enfants fous s'envolent.,0
Les hommes jouent du polo en eau.,Trois hommes courent une balle de soccer tandis qu'une foule de gens regardent.,2
L'homme est à l'extérieur.,Un homme marche devant un hôtel rose avec un sac jaune.,0
Quelqu'un fait partie d'une équipe.,Un homme d'une équipe de soccer ayant des chandails rouges tente de garder le ballon à l'écart du joueur opposé dans un chandail jaune.,0
Un garçon portant une calotte rouge contenant un fissureur.,Le petit garçon dans le chapeau rouge a un fissure.,0
Le groupe joue de la musique pour les enfants.,Une bande joue de la musique sur scène.,1
Une vieille femme danse.,Vieille femme s'installant à côté d'un immeuble avec sa tête inclinée et une canne à pied sur son lap.,2
Un officier de vélo parle à quelqu'un.,Un policier sur un vélo parlant avec une personne dans le dessus du char jaune.,0
"l'heure actuelle, tout le monde travaille sur les devoirs.",Les garçons ont une nuit de travail; certains sont à la table tandis que deux dorment.,2
un enfant seul dans un parc,Un enfant pousse un homme à faire quelque chose devant une foule de gens.,2
Les hommes viennent d'être finis de jouer un jeu.,Deux femmes se préparent à jouer au tennis.,2
Trois personnes installent une fenêtre.,Trois personnes réparent un plafond.,2
La tête de l'homme est protégée.,Un homme dans une chemise blanche et un casque de motocyclette marche parmi une foule de gens dans ce qui semble être un endroit occupé.,0
Un cadet jete son arme à feu.,Un cadet a enlevé son arme à feu dans l'air pendant une célébration.,2
Trois hommes siègent et travaillent au sommet du poste téléphonique.,Trois hommes en chapeaux bleus dures se trouvent sur les sommets des pôles téléphoniques travaillant sur les fils d'un d'un et l'arrière-plan d'un cratère d'oeil en hauteur.,0
Le garçon dorme à côté d'une statue d'Abraham Lincoln.,Un garçon avec une guitare dorme à côté d'une structure en béton.,1
une femme et un garçon portant des vêtements,Une femme voit ce qu'une chemise rayée ressemblerait à un garçon en jaune.,0
Un chien chasse un cambriol dans la neige.,Un chien brun qui chasse le chien noir par la neige.,2
Il n'y a personne qui joue des sports.,Jeunes femmes jouent un jeu intense de lacrosse.,2
Le clown est Ronald McDonald.,Clown dans une chemise colorée rire.,1
Un garçon construit un homme de neige.,Enfant jouant dans la neige dans les bois.,1
Une femme lise un livre.,Un homme assis à un bureau parlant sur un téléphone avec des livres laying partout.,2
La femme est assise par le feu chaud.,Une femme met le bois de feu en ordre.,2
Un jeu de football.,"Un football est lancé, les gens regardent les joueurs, y compris une jeune fille et un homme plus âgé.",0
Un homme aime conduire sa bicyclette.,L'homme en veste jaune vif affiche des renseignements sur la sécurité des bicyclettes dans la rue.,1
Un homme naviguant sur une vague.,Un homme s'embarque au-dessus de la vague.,0
Un homme est habillé dans un costume amusant.,Un homme étrangement habillé portant une jupe de plaide et des bottes noires de haut genou se trouve au milieu d'une zone surpeuplée.,0
Deux tristes enfants se trouvent sur le dos d'un animal.,Deux enfants se trouvent sur le dos d'un animal.,1
Les enfants sont des amis.,Les enfants en combinaison de bain jouent dans une fontaine dans une zone urbaine.,1
Les gens grimpent dans les bois.,Un groupe d'enfants participe à une promenade naturelle.,2
Un homme et une femme parlent de boissons.,Un homme en chemise bleue et une femme en robe ayant une conversation pendant la consommation.,0
Trois chats courent dans l'eau sur la plage.,Trois chiens courent dans l'eau sur la plage.,2
Un garçon tient un ballon.,Un garçon avec un ballon vert se tient à l'extérieur d'un grand bâtiment.,0
Un chien franchit une barrière.,Un petit chien franchit une barrière.,0
Les femmes chargées de la sécurité se reposent à Sofa,Les femmes chargées de la sécurité se trouvent dans un groupe avec des lunettes de soleil.,2
Un garçon emprunte un éléphant.,Un garçon nourrit un tigre dormant alors qu'un autre tigre dorme derrière lui.,2
Les gens regardent un jeu de baseball.,Trois hommes et une petite foule d'autres personnes regardent un jeu de tennis.,2
Les gens participent à un tournoi de piscine.,"Un homme est sur le point de frapper la 7 balle sur une table de piscine directement, tandis qu'un autre est sur le point de frapper la 12 balle directement sur une table de piscine avec une autre table de piscine et quelqu'un mange un sandwich dans l'arrière-plan.",1
Un homme dorme sur un banc.,Un homme muni d'une couverture de plaide dorme sur un banc près d'une rue de la ville.,0
Un avion vole au-dessus du cratère.,Une femme ayant un sommet sans poitrine rouge et une longue jupe noire gardant un jeune enfant dans son bras et gardant un autre jeune enfant à la main pendant qu'elle marche.,2
Deux personnes malheureuses siègent.,Une femme plus âgée et un vieux homme assis en regardant mal.,0
"L'homme est froid, mais le soleil est échoué.",Un homme en nuances et un tête-tête regarde une fille dans une boîte de recyclage.,1
Le peuple est menacé.,Deux personnes s'envolent dans une porte et elles portent tous deux des jeans.,1
Le touriste prend une photo avec la statue historique du lion.,Un homme pose à côté d'une statue du lion.,1
Le pompier se prépare à éteindre un incendie de voiture.,Le pompier tire le tuyau à un incendie de voiture.,0
Un garçon porte des courtes bleues.,Un garçon faisant des replis sur un trampoline à l'extérieur près de la rue.,1
Les hommes sont des musiciens.,L'homme joue le violon un autre homme joue l'accordéon.,0
La femme se tient au comptoir et regarde les gens de la rue.,Une femme assise à un comptoir regarde.,2
Le garçon joue avec un scooter,Un garçon saute 5 escaliers sur un scooter plié.,0
Il y a un auditoire qui regarde.,Un patineur en ligne fait un saut sur une rampe.,1
Il y a deux clients au stand de jus.,Un homme mélange les fruits à un stand de jus dans un centre commercial de bande.,1
La veste est brune.,Un homme dans une veste bleue regarde quelque chose.,2
un homme par l'eau se prépare à prendre un pic du pont,Un homme à l'eau prépare sa caméra pour prendre des photos d'un pont de suspension.,0
L'image montre des manifestants en colère et agités.,Des démonstrateurs attendent que les policiers entendent leurs griefs contre l'oppression et la brutalité de la police.,1
La chauve-souris n'a pas été écoutée.,La chauve-souris se connecte à la balle.,2
Une fille en robe avec fleurs.,Une petite fille en robe avec des fleurs roses s'envole sur un swing rouge assis.,0
Une fille a sur un t-shirt.,Une fille saute d'une roche à une autre dans un ruisseau.,1
Elle est fatiguée,Une gymnaste en blanc tient sa tête.,1
une personne est sur le terrain avec un sac,Personne ayant un sac à dos dans un champ,0
Un joueur de tennis aces les adversaires avec son service.,"Une femme de tennis, portant une jupe rouge et une jupe verte, sert un ballon de tennis sur un terrain d'herbe.",1
La femme s'éloigne de l'homme.,Un homme intermédiaire peuplier dans une chemise en bande orange parlant à une jeune femme asiatique d'un achat sur son repas.,2
Il y a des gens à l'extérieur.,Deux hommes portant des chapeaux et utilisant des bâtonnets de marche marchent près d'un corps d'eau au soleil.,0
Un homme mange une tranche de tarte.,Une jeune fille fait un printemps d'arrière dans l'herbe haute.,2
Cinq coureurs courent sur une piste d’herbe décrite dans des cônes verts.,Cinq coureurs mâles se dirigent sur une piste d’herbe décrite dans des cônes verts.,0
Un mâle dans un chapeau jaune travaille.,Un travailleur de construction masculine applique des pièces à un pont.,1
L'homme est à l'extérieur.,Un homme grille des saucisses.,0
Les enfants se trouvent dans le swing des pneus au parc.,Les enfants se trouvent dans un swing de pneus.,1
une vieille femme est regroupée en marche,Un vieux homme à cheveux gris portant un écouteau et une veste noire.,1
Un joueur de football assis sur le banc.,Le Quarterback Tebow se prépare à lancer le ballon dans le jeu de football des Jets.,2
Un homme dessine tandis que son frère l'enregistre.,Un homme dessine sur la rue tandis qu'un autre homme l'enregistre.,1
Femme enlevant son fils,Une femme prend une photographie avec une caméra à canon,2
Un homme marche un chien,Un policier garde un défilé.,2
Une femme lise Shakespeare.,Un groupe de six jeunes femmes siège autour d'une table tandis que l'une d'entre elles lise et deux autres tiennent des tambourines dans l'air.,1
Un enfant joue un sport,Le jeune fait un sport d'aventure équitable.,0
Un homme roule à l'extérieur d'un vélo.,Un homme emprunte une bicyclette au-dessus d'un mur orange à l'extérieur.,0
La fille a ses yeux fermés.,Une jeune fille regarde à l'extérieur du swing qu'elle est assise dans la distance.,2
Un skieur apprend à nager.,Un skieur tombe dans la neige.,2
Les gens sont habillés pour un spectacle.,Plusieurs personnes en costume marchent en descendance d'une salle.,1
une femme transporte quelque chose,une femme portant quelque chose sur sa tête dirige une mouche de paquet,0
Un homme emprunte à la plage.,Un homme marchant le long de la plate-forme à la gare de métro.,2
Deux hommes empruntent des vélos verts.,Deux hommes à bicyclette naviguent sur les obstacles.,1
Un chien fouille dans le sable.,Un chien fouille dans le sable sous une certaine herbe.,0
Un joueur de football porte un uniforme.,Un joueur de football en uniforme des jeunes.,0
Le chien veut le jouet que la chèvre lui a volé.,Le chien chasse la chèvre autour de la cour.,1
Un wagon tiré de cheval est à l'extérieur.,"Deux chevaux sont attachés à un wagon avec un chien et un homme à l'intérieur, et une femme à côté.",0
Deux personnes conversent les uns avec les autres.,"Lady in black jacket, talking to man in black jacket.",0
Les enfants dans la rue en attente de l'autobus.,Les enfants se dirigent vers la rue à côté de la circulation des véhicules.,1
Un homme porte un chapeau et exploite une machine.,Une femme ayant un chapeau exploite une machine sur le rail en bois.,2
Une image d'un homme âgé habillé dans des vêtements il y a longtemps.,Voici une image d'un homme habillé de vêtements dans les années 1800 et ressemble beaucoup à George Washington.,1
Les animaux marchent à l'extérieur.,Trois chiens marchent sur le sable et jettent des ombres.,0
Un homme joue avec son épingle et fait une danse heureuse.,"Un homme en cuir rouge et en chapeau blanc assis sur une couverture sur le sol, entouré de gâteaux d'une substance brune et semblable à la fibre qu'il vend apparemment.",2
Tout le monde saute.,Huit adolescents d'origine orientale en chemises rouges se trouvent sur des blanchisseries de béton.,2
Elles sont en antarctica,"Un adolescent blanc ayant une chemise bleue fait un truc sur sa longue planche, il y a des tresses de palme autour de lui.",2
Deux baboons jouent de la croquette dans un club de pays.,L'homme portant un casque prend deux petits enfants sans casque pour une motocyclette.,2
Une personne entraîne son cheval pour un concours.,Une personne à cheval saute au-dessus d'un avion débridé.,1
Une femme qui déguste du chocolat.,Une brunette goûte sa création comestible à partir d'un bol.,1
Un homme consomme des céréales dans sa voiture,Une jeune fille assise à une table avec un bol sur sa tête,2
Une petite fille qui attend sa mère par la fontaine d'eau de bronze.,Petite fille en courtes portant des queues en regardant sur la fontaine d'eau de bronze.,1
Un enfant qui marche dans l'herbe.,Un enfant en chemise blanche et en pantalon brun marche dans un champ non coupé.,1
Une fille est en bois.,Une fille sur une plage avec drapeaux arc-en-ciel.,2
les cheveux des enfants sont séchés à souffle,Une femme séche les cheveux d'un jeune garçon dans un salon de coiffure.,0
Les gens marchent vers le concert.,Les spectateurs de concert marchent vers un festival.,0
une femme marche dans un sentier forestier,La femme portant un bataillon marche le long de la plage.,2
Une femme dessine à l'extérieur.,"Une femme blonde à l’égard d’un chapeau de paille, d’un dessus de fer noir, de courtes courtes grises et de flops noirs assis sur le sol en dessinant sur le trottoir.",0
La fille tient un chiot.,Une jeune fille dans une chemise jaune tient un gros escargot.,2
La fille a les mains.,Une jeune fille tient une éponge humide et est prête à jeter.,0
Un garçon assis à la revendication de bagages en attendant ses bagages.,Un homme en chemise noire se tient en ligne avec ses bagages.,2
Un homme joue pour une foule.,L'homme interprète devant un auditoire.,0
un cowboy se balade dans un navire spatial,"Il y a une rue où des gens marchent et marchent leurs vélos, en particulier un homme à l'avant-garde qui a un chapeau de cowboy noir et des vêtements noirs sur et une mustache de poignée.",2
La personne porte un chapeau rouge.,Une personne dans un stand à chapeau rouge regarde les vagues entraînées.,0
un homme dorme à la maison,Un homme peint des garnitures de rue.,2
La moto que l'homme était à côté lui appartient.,Un homme est sans chemise par une moto qui est stationnée près d'un mur en pierre surprenant l'océan.,1
Certaines personnes fabriquent un vin de fruits.,Cinq personnes sont établis de façon uniforme le long d'un flanc plein d'ananas dans un grand champ.,1
Un jeune garçon porte des pantalons blancs.,Un jeune garçon portant des pantalons noirs et une chemise à pin rayée regarde quelque chose sur un écran d'ordinateur.,2
Un homme au téléphone,L'homme en bleu est au téléphone.,0
Le joueur est fort,Le joueur de football de Greenbay reçoit une serviette sur le terrain.,1
Un homme marche à l'extérieur.,Un homme en châssis bleu vert tient un sac clair et sort d'un trou d'eau sur ce qui ressemble à une ferme.,0
Un joueur de guitare joue dans une bande.,Un homme jouant une guitare acoustique.,1
Travailleurs qui font des bagels pour donner à la charité.,Employés d'un atelier de bagel fabriquant des bagels.,1
Les filles se divertissent.,Les trois filles sautent et dansent sur la pelouse colorée.,1
La personne est à quarante pieds du cheval.,"Chevalier gris portant une couverture bleue, mangeant à partir d'un seau orange tenu par une personne dans une chemise verte.",2
Les femmes sont à l'extérieur dans la pluie,Deux femmes franchissent la rue avec des parapluies alors qu'il plonge.,0
La femme se trouve dans une piscine.,Un homme portant une chemise bleue rayée et un turban siège devant un ancien bâtiment en briques tandis qu'une femme portant une blouse rose et un hijab passe à travers.,2
les chiens ne sont pas la même couleur,Un chien blanc et un chien brun se courent le long de l'autre à la plage.,0
Une personne skie mal.,Une personne skie sur une colline neigeuse.,1
Deux agriculteurs examinent le terrain pour la prochaine récolte.,"Deux personnes en vêtements colorés se trouvent dans un champ, inclinées pour regarder le sol.",1
L'étape est pour les perfomères.,Un rapatrié dans un costume noir est sur scène.,0
Une jeune femme était assise dans le sable.,Une jeune fille jouissant d'une belle journée sur la plage.,1
Un enfant est assis dans le genou d'une femme.,Un enfant qui porte un drapeau et porte un manteau orange se tient devant deux femmes assises sur un banc de parc.,2
Un homme prend une image de ses amis.,Un homme asiatique porte un gros chapeau alors qu'il pose pour la caméra.,2
Une fille mange des baies.,Un homme portant une chemise blanche flippe une crêpe en l'affectant dans l'air.,2
Trois femmes asiatiques font des paniers,Trois femmes asiatiques se trouvent autour d'un panier et se trouvent sourire.,1
"Un conducteur qui conduit une motocyclette bleue spacieuse, portant un équipement de course et un casque pour la sécurité",Un conducteur en équipement de course et un casque entraînent une moto spacieuse et bleue.,0
Le groupe de gens va s'humilier.,Un groupe de nageurs plonge dans une piscine.,0
Trois personnes se trouvent dans le jardin,"Pendant que la pelouse d'un homme mûre, un homme et une femme l'aident à nettoyer le jardin.",0
Le groupe de jeunes amis s'est réuni dans la cuisine pour partager un vin.,Deux personnes âgées se trouvent dans leur cuisine pour préparer un repas.,2
Deux Noirs sont à l'extérieur.,Deux Américains d'origine africaine se trouvent devant le bâtiment.,0
Les animaux de compagnie dorment sur la couche.,Deux chiens jouent dans l'herbe.,2
L'homme prend une pause de travail et mange son déjeuner.,Deux hommes regardant un autre homme dans un chapeau bleu dur travaillant.,2
L'homme établit le mât de pêche pour qu'il puisse emmener son neveu au lac plus tard.,Un homme mince travaille avec quelques engins de pêche.,1
Il y a un animal en plein air,Vue d'un arbre d'un chat de couleur foncée sur le toit d'une automobile à gris léger.,0
Un garçon brouille les cheveux d'un afro-américain.,"Un garçon brouille les cheveux d'un afro-américain dans un cadre familial, il a des vêtements sur lui pour ne pas avoir de cheveux sur lui-même.",0
Une famille est souriante.,L'homme s'enlève à sa famille à partir du dessus du pont.,1
De grosses mains rendraient difficile la tasse en raison de sa petite poignée.,La poignée de la tasse est petite et serait difficile à tenir avec de grosses mains.,0
lady travaille sur ordinateur,Une femme dans une veste bleue parle au téléphone d'un escalier.,2
Deux mâles gardent.,Deux jeunes hommes travaillant dans un jardin.,0
L'homme sans abri se trouve à l'extérieur du hall.,L'homme dans une chemise usa jaune est assis à l'extérieur d'un hall d'entrée.,1
Certaines personnes reconnaissent une autre personne à l'avance.,Une femme dans une chemise orange et un homme dans un chandail brun ont une vague à quelqu'un en distance.,1
l'homme était avec des amis,Homme sur patinoire au sommet d'un baril coloré de rouille dans une zone foncée.,1
Un homme est assis sur un bateau de pêche.,Un homme se tient à l'extérieur de la pêche.,2
Les gens sont à l'intérieur d'un immeuble,Les foules marchent le long de la rue.,2
Les touristes se détendent dans une plage.,Les gens qui ont des sacs à dos s'envolent en escaliers en pierre.,2
Une fille joue dans la terre extérieure.,Une fille avec des mains sales semble être heureuse à l'extérieur.,1
Le ruisseau qui traverse l'herbe a beaucoup d'obés.,Un ruisseau traverse la prairie.,1
Les montagnes sont couvertes de neige,Une chaîne de montagnes neigeuse.,0
La mère et le bébé sont des robots qui tirent l'homme avec le parapluie impénétrable.,Un homme ayant un parapluie rouge semble s'enfoncer avec un pneu alors qu'un bébé et une mère regardent.,2
Il y a une station de métro sur la 96e Rue.,Un stand d'enfants avec une femme âgée à la gare de métro de la 96e Rue.,0
Une famille amish dans un passage à l'automobile qui est démantelée.,"Une ligne de chevaux marche sur une route, une voiture assise au côté avec le capot et le tronc ouverts.",1
Un homme mange dans la rue.,Une bande chantant devant une foule enchantée sur la rue.,2
Il y a des gens qui regardent l'art.,Diverses personnes regardent l'art dans la rue.,0
Un homme tirant de l'eau dans la bouche d'un chien.,L’homme squirt de l’eau dans la bouche des chiens,0
Une seule personne en vert.,Groupe de personnes chiffrées bleues.,2
Une danseuse féminine est sur l'épaule d'un homme.,Un mâle tient une danseuse féminine sur l'épaule pendant qu'elle maintient sa formation.,0
